Composition,T,GBR_Pred
Ce0.20Gd0.20Nd0.20Sc0.20Tm0.20PO4,100,0.6839252338424855
Ce0.20Gd0.20Nd0.20Sc0.20Tm0.20PO4,200,2.130750272265113
Ce0.20Gd0.20Nd0.20Sc0.20Tm0.20PO4,300,2.960261436137298
Ce0.20Gd0.20Nd0.20Sc0.20Tm0.20PO4,400,3.4945297971155096
Ce0.20Gd0.20Nd0.20Sc0.20Tm0.20PO4,500,3.8273455338995106
Ce0.20Gd0.20Nd0.20Sc0.20Tm0.20PO4,600,4.1016246076996685
Ce0.20Gd0.20Nd0.20Sc0.20Tm0.20PO4,700,4.303689319751454
Ce0.20Gd0.20Nd0.20Sc0.20Tm0.20PO4,800,4.463110644020928
Ce0.20Gd0.20Nd0.20Sc0.20Tm0.20PO4,900,4.614398248775477
Ce0.20Gd0.20Nd0.20Sc0.20Tm0.20PO4,1000,4.748382518204308
Ce0.20Gd0.20Nd0.20Sc0.20Tm0.20PO4,1100,4.820814474783301
Ce0.20Gd0.20Nd0.20Sc0.20Tm0.20PO4,1200,4.92382643496795
Ce0.20Gd0.20Nd0.20Sc0.20Tm0.20PO4,1300,5.031788055473299
Ce0.20Gd0.20Nd0.20Sc0.20Tm0.20PO4,1400,5.125322680572837
Ce0.20Gd0.20Nd0.20Sc0.20Tm0.20PO4,1500,5.218229600031151
Ce0.20Gd0.20Nd0.20Sc0.20Tm0.20PO4,1600,5.293548910764446
Ce0.20Gd0.20Nd0.20Sc0.20Tm0.20PO4,1700,5.388312451180987
Ce0.20Gd0.20Nd0.20Sc0.20Tm0.20PO4,1800,5.4767124877394
Ce0.20Gd0.20Nd0.20Sc0.20Tm0.20PO4,1900,5.580120301903617
Ce0.20Gd0.20Nd0.20Sc0.20Tm0.20PO4,2000,5.681502079145048
Ce0.20Gd0.20Lu0.20Sm0.20Tm0.20PO4,100,0.811724034360627
Ce0.20Gd0.20Lu0.20Sm0.20Tm0.20PO4,200,2.1280593201122486
Ce0.20Gd0.20Lu0.20Sm0.20Tm0.20PO4,300,3.0903474611324717
Ce0.20Gd0.20Lu0.20Sm0.20Tm0.20PO4,400,3.6067965718902015
Ce0.20Gd0.20Lu0.20Sm0.20Tm0.20PO4,500,3.958857009577788
Ce0.20Gd0.20Lu0.20Sm0.20Tm0.20PO4,600,4.226326574256591
Ce0.20Gd0.20Lu0.20Sm0.20Tm0.20PO4,700,4.41220560878482
Ce0.20Gd0.20Lu0.20Sm0.20Tm0.20PO4,800,4.524023713787883
Ce0.20Gd0.20Lu0.20Sm0.20Tm0.20PO4,900,4.648667475008506
Ce0.20Gd0.20Lu0.20Sm0.20Tm0.20PO4,1000,4.782651744437337
Ce0.20Gd0.20Lu0.20Sm0.20Tm0.20PO4,1100,4.838662593455384
Ce0.20Gd0.20Lu0.20Sm0.20Tm0.20PO4,1200,4.941674553640032
Ce0.20Gd0.20Lu0.20Sm0.20Tm0.20PO4,1300,5.0440308139461685
Ce0.20Gd0.20Lu0.20Sm0.20Tm0.20PO4,1400,5.137565439045706
Ce0.20Gd0.20Lu0.20Sm0.20Tm0.20PO4,1500,5.23047235850402
Ce0.20Gd0.20Lu0.20Sm0.20Tm0.20PO4,1600,5.34321385812111
Ce0.20Gd0.20Lu0.20Sm0.20Tm0.20PO4,1700,5.437977398537651
Ce0.20Gd0.20Lu0.20Sm0.20Tm0.20PO4,1800,5.516107857863657
Ce0.20Gd0.20Lu0.20Sm0.20Tm0.20PO4,1900,5.656379249871768
Ce0.20Gd0.20Lu0.20Sm0.20Tm0.20PO4,2000,5.738449935665337
Ce0.25Gd0.25Nd0.25Sc0.25PO4,100,0.7009240360977232
Ce0.25Gd0.25Nd0.25Sc0.25PO4,200,2.133050758326473
Ce0.25Gd0.25Nd0.25Sc0.25PO4,300,2.969149105498103
Ce0.25Gd0.25Nd0.25Sc0.25PO4,400,3.5717236029293815
Ce0.25Gd0.25Nd0.25Sc0.25PO4,500,3.902485178218645
Ce0.25Gd0.25Nd0.25Sc0.25PO4,600,4.187010659927285
Ce0.25Gd0.25Nd0.25Sc0.25PO4,700,4.328074055327217
Ce0.25Gd0.25Nd0.25Sc0.25PO4,800,4.470075912134778
Ce0.25Gd0.25Nd0.25Sc0.25PO4,900,4.5792738943465325
Ce0.25Gd0.25Nd0.25Sc0.25PO4,1000,4.713258163775364
Ce0.25Gd0.25Nd0.25Sc0.25PO4,1100,4.748005450961597
Ce0.25Gd0.25Nd0.25Sc0.25PO4,1200,4.851017411146246
Ce0.25Gd0.25Nd0.25Sc0.25PO4,1300,4.958979031651595
Ce0.25Gd0.25Nd0.25Sc0.25PO4,1400,5.000388224955101
Ce0.25Gd0.25Nd0.25Sc0.25PO4,1500,5.093295144413415
Ce0.25Gd0.25Nd0.25Sc0.25PO4,1600,5.216664941508136
Ce0.25Gd0.25Nd0.25Sc0.25PO4,1700,5.302140269875932
Ce0.25Gd0.25Nd0.25Sc0.25PO4,1800,5.37518926397358
Ce0.25Gd0.25Nd0.25Sc0.25PO4,1900,5.486250847238458
Ce0.25Gd0.25Nd0.25Sc0.25PO4,2000,5.563196279765594
Ce0.25Gd0.25La0.25Y0.25PO4,100,0.3321631492364571
Ce0.25Gd0.25La0.25Y0.25PO4,200,1.7779415612377367
Ce0.25Gd0.25La0.25Y0.25PO4,300,2.607452725109919
Ce0.25Gd0.25La0.25Y0.25PO4,400,3.1869896014093526
Ce0.25Gd0.25La0.25Y0.25PO4,500,3.5198053381933545
Ce0.25Gd0.25La0.25Y0.25PO4,600,3.804330819901984
Ce0.25Gd0.25La0.25Y0.25PO4,700,4.141221658818485
Ce0.25Gd0.25La0.25Y0.25PO4,800,4.4068718950998935
Ce0.25Gd0.25La0.25Y0.25PO4,900,4.522654954884373
Ce0.25Gd0.25La0.25Y0.25PO4,1000,4.656639224313204
Ce0.25Gd0.25La0.25Y0.25PO4,1100,4.736683687297794
Ce0.25Gd0.25La0.25Y0.25PO4,1200,4.941010727323982
Ce0.25Gd0.25La0.25Y0.25PO4,1300,5.048972347829332
Ce0.25Gd0.25La0.25Y0.25PO4,1400,5.411091689320236
Ce0.25Gd0.25La0.25Y0.25PO4,1500,5.622307811824117
Ce0.25Gd0.25La0.25Y0.25PO4,1600,5.745677608918839
Ce0.25Gd0.25La0.25Y0.25PO4,1700,5.848003202455399
Ce0.25Gd0.25La0.25Y0.25PO4,1800,6.03478786928726
Ce0.25Gd0.25La0.25Y0.25PO4,1900,6.323225640361485
Ce0.25Gd0.25La0.25Y0.25PO4,2000,6.3874829401154765
Gd0.20Ho0.20La0.20Nd0.20Tm0.20PO4,100,0.9072025523606958
Gd0.20Ho0.20La0.20Nd0.20Tm0.20PO4,200,2.3060038792134985
Gd0.20Ho0.20La0.20Nd0.20Tm0.20PO4,300,3.124045567188361
Gd0.20Ho0.20La0.20Nd0.20Tm0.20PO4,400,3.667933723980089
Gd0.20Ho0.20La0.20Nd0.20Tm0.20PO4,500,4.0500887264566625
Gd0.20Ho0.20La0.20Nd0.20Tm0.20PO4,600,4.345650913776237
Gd0.20Ho0.20La0.20Nd0.20Tm0.20PO4,700,4.531529948304466
Gd0.20Ho0.20La0.20Nd0.20Tm0.20PO4,800,4.709064964932788
Gd0.20Ho0.20La0.20Nd0.20Tm0.20PO4,900,4.862755649771984
Gd0.20Ho0.20La0.20Nd0.20Tm0.20PO4,1000,4.967804033481348
Gd0.20Ho0.20La0.20Nd0.20Tm0.20PO4,1100,5.077711980989928
Gd0.20Ho0.20La0.20Nd0.20Tm0.20PO4,1200,5.180723941174577
Gd0.20Ho0.20La0.20Nd0.20Tm0.20PO4,1300,5.275064029330013
Gd0.20Ho0.20La0.20Nd0.20Tm0.20PO4,1400,5.366171154748205
Gd0.20Ho0.20La0.20Nd0.20Tm0.20PO4,1500,5.459078074206519
Gd0.20Ho0.20La0.20Nd0.20Tm0.20PO4,1600,5.527651459798241
Gd0.20Ho0.20La0.20Nd0.20Tm0.20PO4,1700,5.532591949603782
Gd0.20Ho0.20La0.20Nd0.20Tm0.20PO4,1800,5.586222244650867
Gd0.20Ho0.20La0.20Nd0.20Tm0.20PO4,1900,5.681230035382083
Gd0.20Ho0.20La0.20Nd0.20Tm0.20PO4,2000,5.7961044201883585
Er0.20Gd0.20La0.20Sm0.20Yb0.20PO4,100,0.7990900248051177
Er0.20Gd0.20La0.20Sm0.20Yb0.20PO4,200,2.102469847010486
Er0.20Gd0.20La0.20Sm0.20Yb0.20PO4,300,2.9405323707836564
Er0.20Gd0.20La0.20Sm0.20Yb0.20PO4,400,3.4914238752416256
Er0.20Gd0.20La0.20Sm0.20Yb0.20PO4,500,3.8735788777181956
Er0.20Gd0.20La0.20Sm0.20Yb0.20PO4,600,4.146894503582132
Er0.20Gd0.20La0.20Sm0.20Yb0.20PO4,700,4.332773538110361
Er0.20Gd0.20La0.20Sm0.20Yb0.20PO4,800,4.484109927515137
Er0.20Gd0.20La0.20Sm0.20Yb0.20PO4,900,4.637800612354333
Er0.20Gd0.20La0.20Sm0.20Yb0.20PO4,1000,4.742848996063697
Er0.20Gd0.20La0.20Sm0.20Yb0.20PO4,1100,4.811079762658299
Er0.20Gd0.20La0.20Sm0.20Yb0.20PO4,1200,4.914091722842947
Er0.20Gd0.20La0.20Sm0.20Yb0.20PO4,1300,5.008431810998383
Er0.20Gd0.20La0.20Sm0.20Yb0.20PO4,1400,5.099538936416575
Er0.20Gd0.20La0.20Sm0.20Yb0.20PO4,1500,5.192445855874889
Er0.20Gd0.20La0.20Sm0.20Yb0.20PO4,1600,5.273688982633259
Er0.20Gd0.20La0.20Sm0.20Yb0.20PO4,1700,5.3684525230498
Er0.20Gd0.20La0.20Sm0.20Yb0.20PO4,1800,5.4602356477095535
Er0.20Gd0.20La0.20Sm0.20Yb0.20PO4,1900,5.56764894389125
Er0.20Gd0.20La0.20Sm0.20Yb0.20PO4,2000,5.62268024551161
Gd0.20Ho0.20La0.20Sm0.20Yb0.20PO4,100,0.7983389246651041
Gd0.20Ho0.20La0.20Sm0.20Yb0.20PO4,200,2.1017187468704726
Gd0.20Ho0.20La0.20Sm0.20Yb0.20PO4,300,2.939781270643643
Gd0.20Ho0.20La0.20Sm0.20Yb0.20PO4,400,3.4906727751016122
Gd0.20Ho0.20La0.20Sm0.20Yb0.20PO4,500,3.8728277775781823
Gd0.20Ho0.20La0.20Sm0.20Yb0.20PO4,600,4.140297342256976
Gd0.20Ho0.20La0.20Sm0.20Yb0.20PO4,700,4.326176376785205
Gd0.20Ho0.20La0.20Sm0.20Yb0.20PO4,800,4.477512766189981
Gd0.20Ho0.20La0.20Sm0.20Yb0.20PO4,900,4.631203451029177
Gd0.20Ho0.20La0.20Sm0.20Yb0.20PO4,1000,4.736251834738541
Gd0.20Ho0.20La0.20Sm0.20Yb0.20PO4,1100,4.8044826013331425
Gd0.20Ho0.20La0.20Sm0.20Yb0.20PO4,1200,4.907494561517791
Gd0.20Ho0.20La0.20Sm0.20Yb0.20PO4,1300,5.001834649673227
Gd0.20Ho0.20La0.20Sm0.20Yb0.20PO4,1400,5.092941775091419
Gd0.20Ho0.20La0.20Sm0.20Yb0.20PO4,1500,5.185848694549733
Gd0.20Ho0.20La0.20Sm0.20Yb0.20PO4,1600,5.267091821308103
Gd0.20Ho0.20La0.20Sm0.20Yb0.20PO4,1700,5.361855361724644
Gd0.20Ho0.20La0.20Sm0.20Yb0.20PO4,1800,5.453638486384397
Gd0.20Ho0.20La0.20Sm0.20Yb0.20PO4,1900,5.561051782566094
Gd0.20Ho0.20La0.20Sm0.20Yb0.20PO4,2000,5.616083084186454
Eu0.20Gd0.20La0.20Tm0.20Yb0.20PO4,100,0.8298308238966395
Eu0.20Gd0.20La0.20Tm0.20Yb0.20PO4,200,2.133210646102007
Eu0.20Gd0.20La0.20Tm0.20Yb0.20PO4,300,2.9712731698751775
Eu0.20Gd0.20La0.20Tm0.20Yb0.20PO4,400,3.5166581663523746
Eu0.20Gd0.20La0.20Tm0.20Yb0.20PO4,500,3.8988131688289447
Eu0.20Gd0.20La0.20Tm0.20Yb0.20PO4,600,4.172128794692882
Eu0.20Gd0.20La0.20Tm0.20Yb0.20PO4,700,4.358007829221111
Eu0.20Gd0.20La0.20Tm0.20Yb0.20PO4,800,4.509344218625887
Eu0.20Gd0.20La0.20Tm0.20Yb0.20PO4,900,4.663034903465083
Eu0.20Gd0.20La0.20Tm0.20Yb0.20PO4,1000,4.768083287174447
Eu0.20Gd0.20La0.20Tm0.20Yb0.20PO4,1100,4.8363140537690485
Eu0.20Gd0.20La0.20Tm0.20Yb0.20PO4,1200,4.939326013953697
Eu0.20Gd0.20La0.20Tm0.20Yb0.20PO4,1300,5.033666102109133
Eu0.20Gd0.20La0.20Tm0.20Yb0.20PO4,1400,5.124773227527325
Eu0.20Gd0.20La0.20Tm0.20Yb0.20PO4,1500,5.217680146985639
Eu0.20Gd0.20La0.20Tm0.20Yb0.20PO4,1600,5.298923273744009
Eu0.20Gd0.20La0.20Tm0.20Yb0.20PO4,1700,5.39368681416055
Eu0.20Gd0.20La0.20Tm0.20Yb0.20PO4,1800,5.485469938820303
Eu0.20Gd0.20La0.20Tm0.20Yb0.20PO4,1900,5.592883235002
Eu0.20Gd0.20La0.20Tm0.20Yb0.20PO4,2000,5.661296550015373
Ce0.25Gd0.25Lu0.25Sm0.25PO4,100,1.155140419346574
Ce0.25Gd0.25Lu0.25Sm0.25PO4,200,2.4527223538716805
Ce0.25Gd0.25Lu0.25Sm0.25PO4,300,3.3192821439525737
Ce0.25Gd0.25Lu0.25Sm0.25PO4,400,3.9156452473804877
Ce0.25Gd0.25Lu0.25Sm0.25PO4,500,4.285044964002022
Ce0.25Gd0.25Lu0.25Sm0.25PO4,600,4.5627609365893
Ce0.25Gd0.25Lu0.25Sm0.25PO4,700,4.683021402594896
Ce0.25Gd0.25Lu0.25Sm0.25PO4,800,4.850888978238659
Ce0.25Gd0.25Lu0.25Sm0.25PO4,900,4.960000929445991
Ce0.25Gd0.25Lu0.25Sm0.25PO4,1000,5.093985198874822
Ce0.25Gd0.25Lu0.25Sm0.25PO4,1100,5.072805398701734
Ce0.25Gd0.25Lu0.25Sm0.25PO4,1200,5.175817358886382
Ce0.25Gd0.25Lu0.25Sm0.25PO4,1300,5.278173619192518
Ce0.25Gd0.25Lu0.25Sm0.25PO4,1400,5.319582812496024
Ce0.25Gd0.25Lu0.25Sm0.25PO4,1500,5.412489731954338
Ce0.25Gd0.25Lu0.25Sm0.25PO4,1600,5.523288278552234
Ce0.25Gd0.25Lu0.25Sm0.25PO4,1700,5.5381566804791476
Ce0.25Gd0.25Lu0.25Sm0.25PO4,1800,5.588057541292692
Ce0.25Gd0.25Lu0.25Sm0.25PO4,1900,5.652149684236161
Ce0.25Gd0.25Lu0.25Sm0.25PO4,2000,5.655440860616482
Eu0.20Gd0.20Ho0.20La0.20Tm0.20PO4,100,0.8642953588059138
Eu0.20Gd0.20Ho0.20La0.20Tm0.20PO4,200,2.167675181011282
Eu0.20Gd0.20Ho0.20La0.20Tm0.20PO4,300,3.0057377047844525
Eu0.20Gd0.20Ho0.20La0.20Tm0.20PO4,400,3.5566292092424217
Eu0.20Gd0.20Ho0.20La0.20Tm0.20PO4,500,3.9387842117189917
Eu0.20Gd0.20Ho0.20La0.20Tm0.20PO4,600,4.234346399038566
Eu0.20Gd0.20Ho0.20La0.20Tm0.20PO4,700,4.420225433566795
Eu0.20Gd0.20Ho0.20La0.20Tm0.20PO4,800,4.571561822971571
Eu0.20Gd0.20Ho0.20La0.20Tm0.20PO4,900,4.725252507810767
Eu0.20Gd0.20Ho0.20La0.20Tm0.20PO4,1000,4.830300891520131
Eu0.20Gd0.20Ho0.20La0.20Tm0.20PO4,1100,4.898531658114733
Eu0.20Gd0.20Ho0.20La0.20Tm0.20PO4,1200,5.001543618299381
Eu0.20Gd0.20Ho0.20La0.20Tm0.20PO4,1300,5.095883706454817
Eu0.20Gd0.20Ho0.20La0.20Tm0.20PO4,1400,5.186990831873009
Eu0.20Gd0.20Ho0.20La0.20Tm0.20PO4,1500,5.279897751331323
Eu0.20Gd0.20Ho0.20La0.20Tm0.20PO4,1600,5.361140878089693
Eu0.20Gd0.20Ho0.20La0.20Tm0.20PO4,1700,5.455904418506234
Eu0.20Gd0.20Ho0.20La0.20Tm0.20PO4,1800,5.509534713553319
Eu0.20Gd0.20Ho0.20La0.20Tm0.20PO4,1900,5.616948009735015
Eu0.20Gd0.20Ho0.20La0.20Tm0.20PO4,2000,5.648681802223652
